idx,tx_id,tx_type,repair_type,table_type,duration_ms,count,read_ts,from_ts,to_ts
0,0,InitLoad,No Repair,naive,1155.45732,1050000.0,,,
0,0,InitLoad,Read Repair,naive,816.821689,1050000.0,,,
0,0,InitLoad,Write Repair,naive,822.902266,1050000.0,,,
1,1,Update,No Repair,naive,14.178778,21000.0,,,
1,1,Update,Read Repair,naive,13.896192,21000.0,,,
1,1,Update,Write Repair,naive,13.764778,21000.0,,,
2,2,MarkTs,No Repair,naive,866.554927,,2.0,,
2,2,MarkTs,Read Repair,naive,870.64482,,2.0,,
2,2,MarkTs,Write Repair,naive,857.355042,,2.0,,
3,3,RecentScan,No Repair,naive,527.418319,,3.0,,
3,3,RecentScan,Read Repair,naive,535.008683,,3.0,,
3,3,RecentScan,Write Repair,naive,521.8316,,3.0,,
4,4,RecentScan,No Repair,naive,532.9923,,4.0,,
4,4,RecentScan,Read Repair,naive,523.125677,,4.0,,
4,4,RecentScan,Write Repair,naive,517.162933,,4.0,,
5,5,Update,No Repair,naive,16.973702,21000.0,,,
5,5,Update,Read Repair,naive,17.613978,21000.0,,,
5,5,Update,Write Repair,naive,17.445712,21000.0,,,
6,6,Update,No Repair,naive,16.380059,21000.0,,,
6,6,Update,Read Repair,naive,16.851613,21000.0,,,
6,6,Update,Write Repair,naive,16.840101,21000.0,,,
7,7,Update,No Repair,naive,15.86655,21000.0,,,
7,7,Update,Read Repair,naive,16.563215,21000.0,,,
7,7,Update,Write Repair,naive,16.479184,21000.0,,,
8,8,Update,No Repair,naive,15.766759,21000.0,,,
8,8,Update,Read Repair,naive,16.404733,21000.0,,,
8,8,Update,Write Repair,naive,16.311846,21000.0,,,
9,9,Update,No Repair,naive,15.644627,21000.0,,,
9,9,Update,Read Repair,naive,16.286198,21000.0,,,
9,9,Update,Write Repair,naive,16.130971,21000.0,,,
10,10,Update,No Repair,naive,15.431024,21000.0,,,
10,10,Update,Read Repair,naive,17.749887,21000.0,,,
10,10,Update,Write Repair,naive,15.933926,21000.0,,,
11,11,Update,No Repair,naive,15.4864,21000.0,,,
11,11,Update,Read Repair,naive,17.169083,21000.0,,,
11,11,Update,Write Repair,naive,15.632902,21000.0,,,
12,12,Update,No Repair,naive,15.261234,21000.0,,,
12,12,Update,Read Repair,naive,16.307452,21000.0,,,
12,12,Update,Write Repair,naive,15.539597,21000.0,,,
13,13,MarkTs,No Repair,naive,863.575611,,13.0,,
13,13,MarkTs,Read Repair,naive,899.407235,,13.0,,
13,13,MarkTs,Write Repair,naive,869.624994,,13.0,,
14,14,RecentScan,No Repair,naive,536.343885,,14.0,,
14,14,RecentScan,Read Repair,naive,526.105668,,14.0,,
14,14,RecentScan,Write Repair,naive,509.899952,,14.0,,
15,15,HistoryScan,No Repair,naive,524.285941,,2.0,,
15,15,HistoryScan,Read Repair,naive,530.311018,,2.0,,
15,15,HistoryScan,Write Repair,naive,512.669791,,2.0,,
16,16,DeltaScan,No Repair,naive,2745.866743,,,2.0,13.0
16,16,DeltaScan,Read Repair,naive,2553.917018,,,2.0,13.0
16,16,DeltaScan,Write Repair,naive,2737.51541,,,2.0,13.0
17,17,Update,No Repair,naive,17.468469,21000.0,,,
17,17,Update,Read Repair,naive,17.988011,21000.0,,,
17,17,Update,Write Repair,naive,17.736836,21000.0,,,
18,18,DeltaScan,No Repair,naive,2664.036743,,,2.0,13.0
18,18,DeltaScan,Read Repair,naive,2543.6980550000003,,,2.0,13.0
18,18,DeltaScan,Write Repair,naive,2754.798483,,,2.0,13.0
19,19,Probe,No Repair,naive,153.710354,105.0,13.0,,
19,19,Probe,Read Repair,naive,152.993087,105.0,13.0,,
19,19,Probe,Write Repair,naive,152.817816,105.0,13.0,,
20,20,GbgCollect,No Repair,naive,0.0,,2.0,,
20,20,GbgCollect,Read Repair,naive,0.0,,2.0,,
20,20,GbgCollect,Write Repair,naive,0.0,,2.0,,
0,0,InitLoad,No Repair,heap,764.535295,1050000.0,,,
0,0,InitLoad,Read Repair,heap,764.15735,1050000.0,,,
0,0,InitLoad,Write Repair,heap,769.631956,1050000.0,,,
1,1,Update,No Repair,heap,65.04002,21000.0,,,
1,1,Update,Read Repair,heap,18.048183,21000.0,,,
1,1,Update,Write Repair,heap,120.381247,21000.0,,,
2,2,MarkTs,No Repair,heap,0.0,,2.0,,
2,2,MarkTs,Read Repair,heap,0.0,,2.0,,
2,2,MarkTs,Write Repair,heap,0.0,,2.0,,
3,3,RecentScan,No Repair,heap,992.122533,,3.0,,
3,3,RecentScan,Read Repair,heap,1411.070425,,3.0,,
3,3,RecentScan,Write Repair,heap,603.441109,,3.0,,
4,4,RecentScan,No Repair,heap,980.176911,,4.0,,
4,4,RecentScan,Read Repair,heap,584.690287,,4.0,,
4,4,RecentScan,Write Repair,heap,606.433933,,4.0,,
5,5,Update,No Repair,heap,18.598919,21000.0,,,
5,5,Update,Read Repair,heap,19.079256,21000.0,,,
5,5,Update,Write Repair,heap,120.848553,21000.0,,,
6,6,Update,No Repair,heap,19.808369,21000.0,,,
6,6,Update,Read Repair,heap,20.042447,21000.0,,,
6,6,Update,Write Repair,heap,122.928059,21000.0,,,
7,7,Update,No Repair,heap,19.601645,21000.0,,,
7,7,Update,Read Repair,heap,19.373874,21000.0,,,
7,7,Update,Write Repair,heap,172.756242,21000.0,,,
8,8,Update,No Repair,heap,19.217693,21000.0,,,
8,8,Update,Read Repair,heap,19.129582,21000.0,,,
8,8,Update,Write Repair,heap,162.909836,21000.0,,,
9,9,Update,No Repair,heap,19.495916,21000.0,,,
9,9,Update,Read Repair,heap,19.144195,21000.0,,,
9,9,Update,Write Repair,heap,158.33806,21000.0,,,
10,10,Update,No Repair,heap,19.56442,21000.0,,,
10,10,Update,Read Repair,heap,19.186579,21000.0,,,
10,10,Update,Write Repair,heap,165.08888,21000.0,,,
11,11,Update,No Repair,heap,19.879557,21000.0,,,
11,11,Update,Read Repair,heap,51.769982,21000.0,,,
11,11,Update,Write Repair,heap,182.378011,21000.0,,,
12,12,Update,No Repair,heap,19.226552,21000.0,,,
12,12,Update,Read Repair,heap,51.210274,21000.0,,,
12,12,Update,Write Repair,heap,182.559056,21000.0,,,
13,13,MarkTs,No Repair,heap,0.0,,13.0,,
13,13,MarkTs,Read Repair,heap,0.0,,13.0,,
13,13,MarkTs,Write Repair,heap,0.0,,13.0,,
14,14,RecentScan,No Repair,heap,1067.889963,,14.0,,
14,14,RecentScan,Read Repair,heap,1662.078556,,14.0,,
14,14,RecentScan,Write Repair,heap,618.344803,,14.0,,
15,15,HistoryScan,No Repair,heap,983.693178,,2.0,,
15,15,HistoryScan,Read Repair,heap,581.853758,,2.0,,
15,15,HistoryScan,Write Repair,heap,601.939263,,2.0,,
16,16,DeltaScan,No Repair,heap,1600.364618,,,2.0,13.0
16,16,DeltaScan,Read Repair,heap,1600.706762,,,2.0,13.0
16,16,DeltaScan,Write Repair,heap,1584.753937,,,2.0,13.0
17,17,Update,No Repair,heap,29.864254,21000.0,,,
17,17,Update,Read Repair,heap,54.789409,21000.0,,,
17,17,Update,Write Repair,heap,134.380349,21000.0,,,
18,18,DeltaScan,No Repair,heap,1596.5414520000002,,,2.0,13.0
18,18,DeltaScan,Read Repair,heap,1832.494727,,,2.0,13.0
18,18,DeltaScan,Write Repair,heap,1600.627582,,,2.0,13.0
19,19,Probe,No Repair,heap,415.872755,105.0,13.0,,
19,19,Probe,Read Repair,heap,429.743788,105.0,13.0,,
19,19,Probe,Write Repair,heap,395.935538,105.0,13.0,,
20,20,GbgCollect,No Repair,heap,478.48112,,2.0,,
20,20,GbgCollect,Read Repair,heap,481.833786,,2.0,,
20,20,GbgCollect,Write Repair,heap,436.013123,,2.0,,
0,0,InitLoad,No Repair,par,793.20317,1050000.0,,,
0,0,InitLoad,Read Repair,par,791.88569,1050000.0,,,
0,0,InitLoad,Write Repair,par,802.171485,1050000.0,,,
1,1,Update,No Repair,par,18.90132,21000.0,,,
1,1,Update,Read Repair,par,18.5007,21000.0,,,
1,1,Update,Write Repair,par,120.480997,21000.0,,,
2,2,MarkTs,No Repair,par,9.822346,,2.0,,
2,2,MarkTs,Read Repair,par,9.508532,,2.0,,
2,2,MarkTs,Write Repair,par,9.785043,,2.0,,
3,3,RecentScan,No Repair,par,987.097396,,3.0,,
3,3,RecentScan,Read Repair,par,1379.567006,,3.0,,
3,3,RecentScan,Write Repair,par,578.531898,,3.0,,
4,4,RecentScan,No Repair,par,991.974374,,4.0,,
4,4,RecentScan,Read Repair,par,585.316136,,4.0,,
4,4,RecentScan,Write Repair,par,577.816128,,4.0,,
5,5,Update,No Repair,par,17.706245,21000.0,,,
5,5,Update,Read Repair,par,16.687308,21000.0,,,
5,5,Update,Write Repair,par,116.948639,21000.0,,,
6,6,Update,No Repair,par,18.839382,21000.0,,,
6,6,Update,Read Repair,par,18.257928,21000.0,,,
6,6,Update,Write Repair,par,121.337792,21000.0,,,
7,7,Update,No Repair,par,19.781304,21000.0,,,
7,7,Update,Read Repair,par,18.923045,21000.0,,,
7,7,Update,Write Repair,par,123.549241,21000.0,,,
8,8,Update,No Repair,par,19.764709,21000.0,,,
8,8,Update,Read Repair,par,19.215165,21000.0,,,
8,8,Update,Write Repair,par,124.723816,21000.0,,,
9,9,Update,No Repair,par,20.899245,21000.0,,,
9,9,Update,Read Repair,par,19.814104,21000.0,,,
9,9,Update,Write Repair,par,128.564066,21000.0,,,
10,10,Update,No Repair,par,20.633677,21000.0,,,
10,10,Update,Read Repair,par,19.377628,21000.0,,,
10,10,Update,Write Repair,par,133.299214,21000.0,,,
11,11,Update,No Repair,par,19.938466,21000.0,,,
11,11,Update,Read Repair,par,18.938791,21000.0,,,
11,11,Update,Write Repair,par,130.335889,21000.0,,,
12,12,Update,No Repair,par,20.246605,21000.0,,,
12,12,Update,Read Repair,par,19.199618,21000.0,,,
12,12,Update,Write Repair,par,132.864925,21000.0,,,
13,13,MarkTs,No Repair,par,9.766716,,13.0,,
13,13,MarkTs,Read Repair,par,9.609482,,13.0,,
13,13,MarkTs,Write Repair,par,9.830827,,13.0,,
14,14,RecentScan,No Repair,par,1063.702849,,14.0,,
14,14,RecentScan,Read Repair,par,1633.516067,,14.0,,
14,14,RecentScan,Write Repair,par,626.265395,,14.0,,
15,15,HistoryScan,No Repair,par,988.601389,,2.0,,
15,15,HistoryScan,Read Repair,par,580.317743,,2.0,,
15,15,HistoryScan,Write Repair,par,621.254277,,2.0,,
16,16,DeltaScan,No Repair,par,129.41502,,,2.0,13.0
16,16,DeltaScan,Read Repair,par,119.034819,,,2.0,13.0
16,16,DeltaScan,Write Repair,par,119.572369,,,2.0,13.0
17,17,Update,No Repair,par,17.436286,21000.0,,,
17,17,Update,Read Repair,par,16.863154,21000.0,,,
17,17,Update,Write Repair,par,130.6166,21000.0,,,
18,18,DeltaScan,No Repair,par,119.308782,,,2.0,13.0
18,18,DeltaScan,Read Repair,par,1828.97856,,,2.0,13.0
18,18,DeltaScan,Write Repair,par,119.409887,,,2.0,13.0
19,19,Probe,No Repair,par,427.828979,105.0,13.0,,
19,19,Probe,Read Repair,par,411.435481,105.0,13.0,,
19,19,Probe,Write Repair,par,407.171818,105.0,13.0,,
20,20,GbgCollect,No Repair,par,504.581452,,2.0,,
20,20,GbgCollect,Read Repair,par,454.749504,,2.0,,
20,20,GbgCollect,Write Repair,par,448.999662,,2.0,,
0,0,InitLoad,No Repair,chain,767.402908,1050000.0,,,
0,0,InitLoad,Read Repair,chain,736.656642,1050000.0,,,
0,0,InitLoad,Write Repair,chain,747.574351,1050000.0,,,
1,1,Update,No Repair,chain,143.750344,21000.0,,,
1,1,Update,Read Repair,chain,132.106908,21000.0,,,
1,1,Update,Write Repair,chain,136.121275,21000.0,,,
2,2,MarkTs,No Repair,chain,0.0,,2.0,,
2,2,MarkTs,Read Repair,chain,0.0,,2.0,,
2,2,MarkTs,Write Repair,chain,0.0,,2.0,,
3,3,RecentScan,No Repair,chain,604.319271,,3.0,,
3,3,RecentScan,Read Repair,chain,610.144502,,3.0,,
3,3,RecentScan,Write Repair,chain,600.686921,,3.0,,
4,4,RecentScan,No Repair,chain,626.239873,,4.0,,
4,4,RecentScan,Read Repair,chain,596.047573,,4.0,,
4,4,RecentScan,Write Repair,chain,592.079768,,4.0,,
5,5,Update,No Repair,chain,142.103686,21000.0,,,
5,5,Update,Read Repair,chain,146.635391,21000.0,,,
5,5,Update,Write Repair,chain,133.951873,21000.0,,,
6,6,Update,No Repair,chain,144.696695,21000.0,,,
6,6,Update,Read Repair,chain,185.913104,21000.0,,,
6,6,Update,Write Repair,chain,166.119197,21000.0,,,
7,7,Update,No Repair,chain,146.652269,21000.0,,,
7,7,Update,Read Repair,chain,178.089169,21000.0,,,
7,7,Update,Write Repair,chain,167.852844,21000.0,,,
8,8,Update,No Repair,chain,133.167407,21000.0,,,
8,8,Update,Read Repair,chain,179.206804,21000.0,,,
8,8,Update,Write Repair,chain,175.795719,21000.0,,,
9,9,Update,No Repair,chain,135.471758,21000.0,,,
9,9,Update,Read Repair,chain,191.104768,21000.0,,,
9,9,Update,Write Repair,chain,177.893944,21000.0,,,
10,10,Update,No Repair,chain,154.572648,21000.0,,,
10,10,Update,Read Repair,chain,176.641189,21000.0,,,
10,10,Update,Write Repair,chain,178.864482,21000.0,,,
11,11,Update,No Repair,chain,150.807308,21000.0,,,
11,11,Update,Read Repair,chain,185.210505,21000.0,,,
11,11,Update,Write Repair,chain,177.737666,21000.0,,,
12,12,Update,No Repair,chain,131.974109,21000.0,,,
12,12,Update,Read Repair,chain,133.171546,21000.0,,,
12,12,Update,Write Repair,chain,144.673338,21000.0,,,
13,13,MarkTs,No Repair,chain,0.0,,13.0,,
13,13,MarkTs,Read Repair,chain,0.0,,13.0,,
13,13,MarkTs,Write Repair,chain,0.0,,13.0,,
14,14,RecentScan,No Repair,chain,567.830066,,14.0,,
14,14,RecentScan,Read Repair,chain,588.534848,,14.0,,
14,14,RecentScan,Write Repair,chain,581.784354,,14.0,,
15,15,HistoryScan,No Repair,chain,590.898832,,2.0,,
15,15,HistoryScan,Read Repair,chain,609.716548,,2.0,,
15,15,HistoryScan,Write Repair,chain,607.075779,,2.0,,
16,16,DeltaScan,No Repair,chain,1409.479263,,,2.0,13.0
16,16,DeltaScan,Read Repair,chain,1411.2679070000002,,,2.0,13.0
16,16,DeltaScan,Write Repair,chain,1409.427369,,,2.0,13.0
17,17,Update,No Repair,chain,135.973538,21000.0,,,
17,17,Update,Read Repair,chain,143.377049,21000.0,,,
17,17,Update,Write Repair,chain,134.37117,21000.0,,,
18,18,DeltaScan,No Repair,chain,1437.464531,,,2.0,13.0
18,18,DeltaScan,Read Repair,chain,1451.337225,,,2.0,13.0
18,18,DeltaScan,Write Repair,chain,1441.6701560000001,,,2.0,13.0
19,19,Probe,No Repair,chain,226.595224,105.0,13.0,,
19,19,Probe,Read Repair,chain,213.977458,105.0,13.0,,
19,19,Probe,Write Repair,chain,217.866319,105.0,13.0,,
20,20,GbgCollect,No Repair,chain,1.51839,,2.0,,
20,20,GbgCollect,Read Repair,chain,1.613071,,2.0,,
20,20,GbgCollect,Write Repair,chain,1.536139,,2.0,,
