idx,tx_id,tx_type,repair_type,table_type,duration_ms,count,read_ts,from_ts,to_ts
0,0,InitLoad,No Repair,naive,1169.221588,1050000.0,,,
0,0,InitLoad,Read Repair,naive,816.530971,1050000.0,,,
0,0,InitLoad,Write Repair,naive,816.194785,1050000.0,,,
1,1,Update,No Repair,naive,13.81754,21000.0,,,
1,1,Update,Read Repair,naive,14.422405,21000.0,,,
1,1,Update,Write Repair,naive,13.931836,21000.0,,,
2,2,Update,No Repair,naive,14.637893,21000.0,,,
2,2,Update,Read Repair,naive,14.786678,21000.0,,,
2,2,Update,Write Repair,naive,14.343872,21000.0,,,
3,3,Update,No Repair,naive,14.563258,21000.0,,,
3,3,Update,Read Repair,naive,14.767147,21000.0,,,
3,3,Update,Write Repair,naive,14.460264,21000.0,,,
4,4,Update,No Repair,naive,14.419367,21000.0,,,
4,4,Update,Read Repair,naive,14.657384,21000.0,,,
4,4,Update,Write Repair,naive,14.324842,21000.0,,,
5,5,MarkTs,No Repair,naive,864.229199,,5.0,,
5,5,MarkTs,Read Repair,naive,869.082618,,5.0,,
5,5,MarkTs,Write Repair,naive,872.185294,,5.0,,
6,6,RecentScan,No Repair,naive,505.502023,,6.0,,
6,6,RecentScan,Read Repair,naive,506.754347,,6.0,,
6,6,RecentScan,Write Repair,naive,514.083739,,6.0,,
7,7,RecentScan,No Repair,naive,497.638525,,7.0,,
7,7,RecentScan,Read Repair,naive,507.209738,,7.0,,
7,7,RecentScan,Write Repair,naive,513.092059,,7.0,,
8,8,Update,No Repair,naive,17.359045,21000.0,,,
8,8,Update,Read Repair,naive,17.565624,21000.0,,,
8,8,Update,Write Repair,naive,23.234676,21000.0,,,
9,9,Update,No Repair,naive,16.51788,21000.0,,,
9,9,Update,Read Repair,naive,16.781966,21000.0,,,
9,9,Update,Write Repair,naive,16.309559,21000.0,,,
10,10,MarkTs,No Repair,naive,874.21673,,10.0,,
10,10,MarkTs,Read Repair,naive,877.61955,,10.0,,
10,10,MarkTs,Write Repair,naive,865.383402,,10.0,,
11,11,RecentScan,No Repair,naive,522.300515,,11.0,,
11,11,RecentScan,Read Repair,naive,543.949601,,11.0,,
11,11,RecentScan,Write Repair,naive,543.297133,,11.0,,
12,12,HistoryScan,No Repair,naive,532.085619,,5.0,,
12,12,HistoryScan,Read Repair,naive,539.550592,,5.0,,
12,12,HistoryScan,Write Repair,naive,536.476139,,5.0,,
13,13,DeltaScan,No Repair,naive,2780.982942,,,5.0,10.0
13,13,DeltaScan,Read Repair,naive,2657.520266,,,5.0,10.0
13,13,DeltaScan,Write Repair,naive,2568.363848,,,5.0,10.0
14,14,DeltaScan,No Repair,naive,2674.874042,,,5.0,10.0
14,14,DeltaScan,Read Repair,naive,2553.819039,,,5.0,10.0
14,14,DeltaScan,Write Repair,naive,2552.4777759999997,,,5.0,10.0
15,15,Probe,No Repair,naive,149.059393,105.0,10.0,,
15,15,Probe,Read Repair,naive,157.606984,105.0,10.0,,
15,15,Probe,Write Repair,naive,155.100379,105.0,10.0,,
16,16,GbgCollect,No Repair,naive,0.0,,5.0,,
16,16,GbgCollect,Read Repair,naive,0.0,,5.0,,
16,16,GbgCollect,Write Repair,naive,0.0,,5.0,,
0,0,InitLoad,No Repair,heap,743.44381,1050000.0,,,
0,0,InitLoad,Read Repair,heap,745.745657,1050000.0,,,
0,0,InitLoad,Write Repair,heap,743.358667,1050000.0,,,
1,1,Update,No Repair,heap,57.718856,21000.0,,,
1,1,Update,Read Repair,heap,18.11108,21000.0,,,
1,1,Update,Write Repair,heap,120.369941,21000.0,,,
2,2,Update,No Repair,heap,18.834,21000.0,,,
2,2,Update,Read Repair,heap,18.610351,21000.0,,,
2,2,Update,Write Repair,heap,166.637723,21000.0,,,
3,3,Update,No Repair,heap,19.616684,21000.0,,,
3,3,Update,Read Repair,heap,19.491998,21000.0,,,
3,3,Update,Write Repair,heap,181.258521,21000.0,,,
4,4,Update,No Repair,heap,19.73902,21000.0,,,
4,4,Update,Read Repair,heap,18.838038,21000.0,,,
4,4,Update,Write Repair,heap,171.39938,21000.0,,,
5,5,MarkTs,No Repair,heap,0.0,,5.0,,
5,5,MarkTs,Read Repair,heap,0.0,,5.0,,
5,5,MarkTs,Write Repair,heap,0.0011639999999999999,,5.0,,
6,6,RecentScan,No Repair,heap,1018.649153,,6.0,,
6,6,RecentScan,Read Repair,heap,1595.270483,,6.0,,
6,6,RecentScan,Write Repair,heap,604.787314,,6.0,,
7,7,RecentScan,No Repair,heap,1022.1672879999999,,7.0,,
7,7,RecentScan,Read Repair,heap,603.055312,,7.0,,
7,7,RecentScan,Write Repair,heap,602.332771,,7.0,,
8,8,Update,No Repair,heap,19.021647,21000.0,,,
8,8,Update,Read Repair,heap,18.315424,21000.0,,,
8,8,Update,Write Repair,heap,171.90756,21000.0,,,
9,9,Update,No Repair,heap,19.599787,21000.0,,,
9,9,Update,Read Repair,heap,18.985173,21000.0,,,
9,9,Update,Write Repair,heap,178.057743,21000.0,,,
10,10,MarkTs,No Repair,heap,0.001232,,10.0,,
10,10,MarkTs,Read Repair,heap,0.0,,10.0,,
10,10,MarkTs,Write Repair,heap,0.0,,10.0,,
11,11,RecentScan,No Repair,heap,1036.3406710000002,,11.0,,
11,11,RecentScan,Read Repair,heap,1478.9584650000002,,11.0,,
11,11,RecentScan,Write Repair,heap,608.566964,,11.0,,
12,12,HistoryScan,No Repair,heap,1024.523761,,5.0,,
12,12,HistoryScan,Read Repair,heap,593.117909,,5.0,,
12,12,HistoryScan,Write Repair,heap,604.15856,,5.0,,
13,13,DeltaScan,No Repair,heap,1567.867521,,,5.0,10.0
13,13,DeltaScan,Read Repair,heap,1568.587972,,,5.0,10.0
13,13,DeltaScan,Write Repair,heap,1595.008335,,,5.0,10.0
14,14,DeltaScan,No Repair,heap,1575.517481,,,5.0,10.0
14,14,DeltaScan,Read Repair,heap,1577.038167,,,5.0,10.0
14,14,DeltaScan,Write Repair,heap,1611.394637,,,5.0,10.0
15,15,Probe,No Repair,heap,385.616776,105.0,10.0,,
